all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
all AUC= 73.232 logAUC= 36.381
